"CrewID","EventID","Event Identity","Event Override Name","Division Assigned","Submitting Club Index","Submitting Club","Crew Name","Composite","CompositeCode","CrewLetter","CompetitionNotes","Position In Event","Raw Time","Time","Status","Rowing CRI","Rowing CRI Max","Sculling CRI","Sculling CRI Max","Baseline Rowing CRI","Baseline Rowing CRI Max","Baseline Sculling CRI","Baseline Sculling CRI Max",
"1028709","118803","MasA.1x","Op MasA 1x","","TSS","Tideway Scullers School","TSS-BLAKE","N","","","","","","","","523","698","578","578","523","698","578","578",
"1028718","118803","MasA.1x","Op MasA 1x","","TSS","Tideway Scullers School","TSS-MCORIST","N","","","","","","","","0","0","99","158","0","0","99","158",
"1028720","118803","MasA.1x","Op MasA 1x","","TSS","Tideway Scullers School","TSS-DUNLEY","N","","","","","","","","0","0","49","97","0","0","49","97",
"1028721","118803","MasA.1x","Op MasA 1x","","TSS","Tideway Scullers School","TSS-RIDLER","N","","","","","","","","484","484","143","1144","484","484","143","1144",
"1028722","118803","MasA.1x","Op MasA 1x","","TSS","Tideway Scullers School","TSS-O'REILLY","N","","","","","","","","126","126","322","858","126","126","322","858",
"1028735","118803","MasA.1x","Op MasA 1x","","TSS","Tideway Scullers School","TSS-WILKOJC","N","","","","","","","","406","406","279","742","406","406","279","742",
"1028955","118803","MasA.1x","Op MasA 1x","","CFA","Cardiff University Alumni Rowing Club","CFA-GEORGE","N","","","","","","","","31","36","102","102","31","36","102","102",
"1028987","118803","MasA.1x","Op MasA 1x","","MBC","Molesey Boat Club","MBC-BROADEST","N","","","","","","","","413","413","9","36","413","413","9","36",
"1029095","118803","MasA.1x","Op MasA 1x","","TSS","Tideway Scullers School","TSS-SANDERS","N","","","","","","","","0","0","9","70","0","0","9","70",
"1029727","118803","MasA.1x","Op MasA 1x","","VRC","Vesta Rowing Club","VRC-TURNER","N","","","","","","","","15","40","0","0","15","40","0","0",
"1026862","118804","MasB.1x","Op MasB 1x","","TTR","Thames Tradesmen's Rowing Club","TTR-DODD","N","","","","","","","","88","176","113","113","88","176","113","113",
"1027055","118804","MasB.1x","Op MasB 1x","","TKC","Team Keane Sculling School","TKC-KEANE","N","","A","","","","","","0","0","362","362","0","0","362","362",
"1027057","118804","MasB.1x","Op MasB 1x","","MON","Monmouth Rowing Club","MON-BUTLER","N","","","","","","","","262","262","210","210","262","262","210","210",
